Date,AEM
3/2/2015,32.02
3/3/2015,31.65
3/4/2015,30.78
3/5/2015,31.31
3/6/2015,28.66
3/9/2015,27.65
3/10/2015,27.49
3/11/2015,28.59
3/12/2015,28.48
3/13/2015,28.36
3/16/2015,28.44
3/17/2015,28.1
3/18/2015,29.27
3/19/2015,28.56
3/20/2015,29.72
3/23/2015,30.42
3/24/2015,30.25
3/25/2015,30.11
3/26/2015,29.14
3/27/2015,28.85
3/30/2015,28
3/31/2015,27.94
4/1/2015,30.19
4/2/2015,29.73
4/6/2015,30.87
4/7/2015,29.67
4/8/2015,28.98
4/9/2015,28.79
4/10/2015,29.7
4/13/2015,29.05
4/14/2015,29.34
4/15/2015,30.42
4/16/2015,30.07
4/17/2015,30.27
4/20/2015,30.13
4/21/2015,30.59
4/22/2015,29.09
4/23/2015,30.54
4/24/2015,29.82
4/27/2015,30.1
4/28/2015,32.06
4/29/2015,31.9
4/30/2015,30.3
5/1/2015,31.73
5/4/2015,31.57
5/5/2015,31.8
5/6/2015,30.65
5/7/2015,31.39
5/8/2015,31.69
5/11/2015,32.39
5/12/2015,33.49
5/13/2015,34.11
5/14/2015,33.96
5/15/2015,33.52
5/18/2015,33.96
5/19/2015,32.51
5/20/2015,32.8
5/21/2015,32.68
5/22/2015,32.55
5/26/2015,31.09
5/27/2015,31.37
5/28/2015,32.08
5/29/2015,32.17
6/1/2015,32.1
6/2/2015,32.59
6/3/2015,31.84
6/4/2015,31.67
6/5/2015,30.83
6/8/2015,31.4
6/9/2015,30.94
6/10/2015,31.59
6/11/2015,31.2
6/12/2015,30.89
6/15/2015,31.07
6/16/2015,30.25
6/17/2015,30.97
6/18/2015,31.92
6/19/2015,30.95
6/22/2015,30.21
6/23/2015,30.1
6/24/2015,30.04
6/25/2015,29.58
6/26/2015,29.16
6/29/2015,29.04
6/30/2015,28.37
7/1/2015,27.65
7/2/2015,28.43
7/6/2015,29.75
7/7/2015,28.43
7/8/2015,28.57
7/9/2015,28.59
7/10/2015,27.96
7/13/2015,27.42
7/14/2015,27.42
7/15/2015,26.94
7/16/2015,26.67
7/17/2015,25.16
7/20/2015,22.72
7/21/2015,23.34
7/22/2015,23.27
7/23/2015,22.38
7/24/2015,23.88
7/27/2015,22.97
7/28/2015,23.12
7/29/2015,23.37
7/30/2015,21.63
7/31/2015,22.13
8/3/2015,21.16
8/4/2015,21.3
8/5/2015,21.1
8/6/2015,21.93
8/7/2015,22.09
8/10/2015,23.69
8/11/2015,23.71
8/12/2015,25.85
8/13/2015,24.23
8/14/2015,23.71
8/17/2015,24.62
8/18/2015,24.59
8/19/2015,26.33
8/20/2015,27.09
8/21/2015,26.19
8/24/2015,24.67
8/25/2015,23.69
8/26/2015,22.56
8/27/2015,23.5
8/28/2015,24.57
8/31/2015,24.48
9/1/2015,24.13
9/2/2015,23.62
9/3/2015,22.79
9/4/2015,22.81
9/8/2015,22.66
9/9/2015,21.55
9/10/2015,21.82
9/11/2015,22.15
9/14/2015,22.18
9/15/2015,22.07
9/16/2015,23.73
9/17/2015,24.3
9/18/2015,24.46
9/21/2015,24.1
9/22/2015,23.03
9/23/2015,23.12
9/24/2015,25.76
9/25/2015,25.99
9/28/2015,24.73
9/29/2015,24.66
9/30/2015,25.32
10/1/2015,24.71
10/2/2015,27.81
10/5/2015,28.31
10/6/2015,28.81
10/7/2015,28.16
10/8/2015,27.5
10/9/2015,28.73
10/12/2015,27.72
10/13/2015,28.29
10/14/2015,30.23
10/15/2015,30.14
10/16/2015,29.2
10/19/2015,28.3
10/20/2015,28.95
10/21/2015,28.45
10/22/2015,29.09
10/23/2015,29.06
10/26/2015,27.96
10/27/2015,28.02
10/28/2015,27.79
10/29/2015,28.1
10/30/2015,28.29
11/2/2015,28.11
11/3/2015,27.77
11/4/2015,27.59
11/5/2015,26.39
11/6/2015,25.13
11/9/2015,25.87
11/10/2015,25.64
11/11/2015,26.38
11/12/2015,26.13
11/13/2015,26.07
11/16/2015,26.18
11/17/2015,25.05
11/18/2015,26.35
11/19/2015,27.03
11/20/2015,26.24
11/23/2015,25.92
11/24/2015,26.7
11/25/2015,26.69
11/27/2015,26.02
11/30/2015,26.45
12/1/2015,27.34
12/2/2015,26.83
12/3/2015,26.97
12/4/2015,29.13
12/7/2015,27.84
12/8/2015,28.04
12/9/2015,27.93
12/10/2015,27.49
12/11/2015,27.87
12/14/2015,26.58
12/15/2015,26.45
12/16/2015,27.28
12/17/2015,25.05
12/18/2015,26.07
12/21/2015,26.73
12/22/2015,26.48
12/23/2015,26.69
12/24/2015,27.21
12/28/2015,26.82
12/29/2015,26.93
12/30/2015,26.22
12/31/2015,26.28
1/4/2016,26.94
1/5/2016,27.62
1/6/2016,28.45
1/7/2016,29.99
1/8/2016,29.56
1/11/2016,28.59
1/12/2016,28.53
1/13/2016,28.98
1/14/2016,27.87
1/15/2016,28.01
1/19/2016,26.78
1/20/2016,26.87
1/21/2016,27.24
1/22/2016,27.28
1/25/2016,27.9
1/26/2016,28.75
1/27/2016,28.95
1/28/2016,28.97
1/29/2016,29.44
2/1/2016,30.07
2/2/2016,29.76
2/3/2016,31.4
2/4/2016,32.73
2/5/2016,33.51
2/8/2016,33.91
2/9/2016,33.11
2/10/2016,33.3
2/11/2016,35.33
2/12/2016,35.64
2/16/2016,34.12
2/17/2016,33.9
2/18/2016,35.06
2/19/2016,34.63
2/22/2016,34.65
2/23/2016,35.25
2/24/2016,35.21
2/25/2016,35.63
2/26/2016,34.55
2/29/2016,35.2
3/1/2016,33.45
3/2/2016,33.89
3/3/2016,34.35
3/4/2016,34.3
3/7/2016,35.22
3/8/2016,34.12
3/9/2016,34.24
3/10/2016,36.41
3/11/2016,35.72
3/14/2016,35.07
3/15/2016,35.77
3/16/2016,37.81
3/17/2016,38.04
3/18/2016,37.99
3/21/2016,38.07
3/22/2016,37.51
3/23/2016,35.45
3/24/2016,36.12
3/28/2016,36.01
3/29/2016,37.3
3/30/2016,36.75
3/31/2016,36.16
4/1/2016,36.53
4/4/2016,35.83
4/5/2016,36.43
4/6/2016,36.52
4/7/2016,37.87
4/8/2016,38.47
4/11/2016,40.58
4/12/2016,41.08
4/13/2016,40.42
4/14/2016,39.56
4/15/2016,40.42
4/18/2016,40.06
4/19/2016,41.49
4/20/2016,40.83
4/21/2016,41.83
4/22/2016,41.34
4/25/2016,40.58
4/26/2016,41.11
4/27/2016,41.38
4/28/2016,43.23
4/29/2016,47.21
5/2/2016,46.76
5/3/2016,45.71
5/4/2016,43.8
5/5/2016,44.98
5/6/2016,46.04
5/9/2016,44.11
5/10/2016,45.35
5/11/2016,46.66
5/12/2016,45.75
5/13/2016,46.2
5/16/2016,47.53
5/17/2016,48.31
5/18/2016,44.89
5/19/2016,45.67
5/20/2016,46.18
5/23/2016,45.93
5/24/2016,44.15
5/25/2016,44.82
5/26/2016,45.15
5/27/2016,44.14
5/31/2016,44.92
6/1/2016,45.17
6/2/2016,45.12
6/3/2016,50.16
6/6/2016,50.26
6/7/2016,50.15
6/8/2016,50.59
6/9/2016,51.1
6/10/2016,50.59
6/13/2016,51.43
6/14/2016,49.92
6/15/2016,51.26
6/16/2016,50.51
6/17/2016,50.22
6/20/2016,50.39
6/21/2016,49.64
6/22/2016,50.4
6/23/2016,49.8
6/24/2016,52.03
6/27/2016,52.54
6/28/2016,52.32
6/29/2016,52.96
6/30/2016,53.5
7/1/2016,55.6
7/5/2016,55.32
7/6/2016,56.34
7/7/2016,55.32
7/8/2016,55.84
7/11/2016,55.54
7/12/2016,54.28
7/13/2016,56.81
7/14/2016,56.08
7/15/2016,56.07
7/18/2016,56.07
7/19/2016,55.71
7/20/2016,52.25
7/21/2016,53.23
7/22/2016,53.73
7/25/2016,51.29
7/26/2016,52.72
7/27/2016,54.66
7/28/2016,56.54
7/29/2016,58.14
8/1/2016,58.89
8/2/2016,59.38
8/3/2016,59.32
8/4/2016,59.77
8/5/2016,57.92
8/8/2016,57.25
8/9/2016,58.36
8/10/2016,59.1
8/11/2016,58.59
8/12/2016,58.46
8/15/2016,58.12
8/16/2016,58.16
8/17/2016,57.3
8/18/2016,57.74
8/19/2016,56.14
8/22/2016,56.25
8/23/2016,55.93
8/24/2016,51.99
8/25/2016,52.47
8/26/2016,52.42
8/29/2016,53.3
8/30/2016,50.83
8/31/2016,50.65
9/1/2016,52.09
9/2/2016,53.57
9/6/2016,55.87
9/7/2016,56.12
9/8/2016,54.54
9/9/2016,50.97
9/12/2016,52.74
9/13/2016,51.29
9/14/2016,51.05
9/15/2016,51.67
9/16/2016,51.44
9/19/2016,52.13
9/20/2016,52.28
9/21/2016,56.03
9/22/2016,56.55
9/23/2016,54.33
9/26/2016,54.14
9/27/2016,54.05
9/28/2016,55
9/29/2016,55.15
9/30/2016,54.18
10/3/2016,52.77
10/4/2016,47.46
10/5/2016,46.76
10/6/2016,45.63
10/7/2016,44.95
10/10/2016,44.94
10/11/2016,44.72
10/12/2016,46.09
10/13/2016,46.31
10/14/2016,45.66
10/17/2016,46.17
10/18/2016,48.01
10/19/2016,49.49
10/20/2016,49.17
10/21/2016,49.05
10/24/2016,48.29
10/25/2016,49.59
10/26/2016,48.4
10/27/2016,48.77
10/28/2016,49.4
