Date,CNQ
3/2/2015,29.04
3/3/2015,29.18
3/4/2015,29.25
3/5/2015,30.5
3/6/2015,29.32
3/9/2015,28.78
3/10/2015,28.32
3/11/2015,28.44
3/12/2015,28.29
3/13/2015,28.16
3/16/2015,28.69
3/17/2015,29.06
3/18/2015,29.66
3/19/2015,28.37
3/20/2015,29.21
3/23/2015,29.48
3/24/2015,29.93
3/25/2015,30.43
3/26/2015,30.9
3/27/2015,30.33
3/30/2015,30.43
3/31/2015,30.31
4/1/2015,30.57
4/2/2015,30.89
4/6/2015,31.84
4/7/2015,32.39
4/8/2015,31.5
4/9/2015,31.76
4/10/2015,31.91
4/13/2015,31.76
4/14/2015,32.58
4/15/2015,33.71
4/16/2015,33.08
4/17/2015,33.3
4/20/2015,33.03
4/21/2015,32.24
4/22/2015,32.64
4/23/2015,33.19
4/24/2015,33.18
4/27/2015,33.1
4/28/2015,32.98
4/29/2015,33.23
4/30/2015,32.82
5/1/2015,32.43
5/4/2015,32.32
5/5/2015,32.38
5/6/2015,31.54
5/7/2015,31
5/8/2015,31.21
5/11/2015,31.07
5/12/2015,31.28
5/13/2015,31.57
5/14/2015,31.12
5/15/2015,31.18
5/18/2015,30.93
5/19/2015,30.44
5/20/2015,30.72
5/21/2015,31.38
5/22/2015,31
5/26/2015,30.12
5/27/2015,30.06
5/28/2015,30.34
5/29/2015,30.44
6/1/2015,29.98
6/2/2015,30.61
6/3/2015,30.09
6/4/2015,29.76
6/5/2015,29.81
6/8/2015,29.12
6/9/2015,29.6
6/10/2015,29.83
6/11/2015,29.49
6/12/2015,28.27
6/15/2015,27.9
6/16/2015,28.03
6/17/2015,28.31
6/18/2015,28.41
6/19/2015,27.76
6/22/2015,28.08
6/23/2015,28.77
6/24/2015,28.57
6/25/2015,28.11
6/26/2015,27.83
6/29/2015,26.9
6/30/2015,26.81
7/1/2015,26.24
7/2/2015,26.63
7/6/2015,26.01
7/7/2015,26.04
7/8/2015,25.56
7/9/2015,25.47
7/10/2015,25.69
7/13/2015,25.74
7/14/2015,25.87
7/15/2015,25.22
7/16/2015,25.08
7/17/2015,24.9
7/20/2015,23.9
