Date,RBC
3/2/2015,79.07
3/3/2015,78.77
3/4/2015,78.14
3/5/2015,77.87
3/6/2015,76.6
3/9/2015,76.66
3/10/2015,75.77
3/11/2015,75.84
3/12/2015,76.93
3/13/2015,76.65
3/16/2015,78.13
3/17/2015,79.09
3/18/2015,80.2
3/19/2015,79.5
3/20/2015,79.96
3/23/2015,78.67
3/24/2015,78.56
3/25/2015,78.74
3/26/2015,78.47
3/27/2015,78.23
3/30/2015,79.94
3/31/2015,79.92
4/1/2015,79.34
4/2/2015,78.62
4/6/2015,78.3
4/7/2015,76.97
4/8/2015,76.34
4/9/2015,75.49
4/10/2015,75.75
4/13/2015,75.8
4/14/2015,76.75
4/15/2015,77.44
4/16/2015,77.11
4/17/2015,76.37
4/20/2015,76.62
4/21/2015,76.6
4/22/2015,76.95
4/23/2015,77.33
4/24/2015,77.14
4/27/2015,77.24
4/28/2015,77.92
4/29/2015,78.22
4/30/2015,78.2
5/1/2015,78.51
5/4/2015,78.39
5/5/2015,77.73
5/6/2015,77.93
5/7/2015,77.57
5/8/2015,77.72
5/11/2015,78.53
5/12/2015,78.15
5/13/2015,79.3
5/14/2015,79.82
5/15/2015,79.64
5/18/2015,80.24
5/19/2015,80.23
5/20/2015,80.95
5/21/2015,80.79
5/22/2015,80.9
5/26/2015,80.08
5/27/2015,80.16
5/28/2015,79.89
5/29/2015,78.19
6/1/2015,77.56
6/2/2015,77.69
6/3/2015,77.59
6/4/2015,76.36
6/5/2015,76.34
6/8/2015,75.97
6/9/2015,75.88
6/10/2015,76.77
6/11/2015,77.7
6/12/2015,77.39
6/15/2015,75.86
6/16/2015,75.91
6/17/2015,75.45
6/18/2015,76
6/19/2015,75.43
6/22/2015,75.46
6/23/2015,75.09
6/24/2015,74.25
6/25/2015,72.73
6/26/2015,73.26
6/29/2015,71.82
6/30/2015,72.59
7/1/2015,72.71
7/2/2015,72.68
7/6/2015,71.72
7/7/2015,71.17
7/8/2015,69.66
7/9/2015,68.62
7/10/2015,68.6
7/13/2015,69.01
7/14/2015,69.04
7/15/2015,68.9
7/16/2015,68.7
7/17/2015,68.18
7/20/2015,68.4
7/21/2015,67.93
7/22/2015,68.01
7/23/2015,67.18
7/24/2015,66.34
7/27/2015,65.8
7/28/2015,66.81
7/29/2015,67.42
7/30/2015,68.6
7/31/2015,69.43
8/3/2015,69.06
8/4/2015,72.12
8/5/2015,72.4
8/6/2015,72.17
8/7/2015,71.38
8/10/2015,72.74
8/11/2015,71.52
8/12/2015,72.55
8/13/2015,72.28
8/14/2015,72.52
8/17/2015,72.61
8/18/2015,72.32
8/19/2015,70.98
8/20/2015,69.09
8/21/2015,67.67
8/24/2015,65
8/25/2015,64.45
8/26/2015,65.28
8/27/2015,66.74
8/28/2015,66.22
8/31/2015,66.67
9/1/2015,63.94
9/2/2015,64.63
9/3/2015,65.6
9/4/2015,64.24
9/8/2015,65.39
9/9/2015,64.97
9/10/2015,64.36
9/11/2015,64
9/14/2015,63.38
9/15/2015,63.84
9/16/2015,64.57
9/17/2015,63.7
9/18/2015,62.18
9/21/2015,62.37
9/22/2015,60.74
9/23/2015,59.34
9/24/2015,58.44
9/25/2015,58.1
9/28/2015,57.27
9/29/2015,56.15
9/30/2015,56.45
10/1/2015,55.46
10/2/2015,57.34
10/5/2015,59.87
10/6/2015,60.23
10/7/2015,61.11
10/8/2015,62.2
10/9/2015,62.23
10/12/2015,61.3
10/13/2015,60.65
10/14/2015,60.52
10/15/2015,60.83
10/16/2015,59.8
10/19/2015,60.25
10/20/2015,60.62
10/21/2015,60.17
10/22/2015,61.14
10/23/2015,62.67
10/26/2015,63.11
10/27/2015,62.01
10/28/2015,63.84
10/29/2015,63.6
10/30/2015,63.79
11/2/2015,64.79
11/3/2015,64.49
11/4/2015,64.4
11/5/2015,64.56
11/6/2015,64.72
11/9/2015,63.53
11/10/2015,63.76
11/11/2015,64.4
11/12/2015,61.67
11/13/2015,61.95
11/16/2015,62.48
11/17/2015,61.76
11/18/2015,62.68
11/19/2015,62.9
11/20/2015,63.18
11/23/2015,64.11
11/24/2015,65.24
11/25/2015,63.71
11/27/2015,63.82
11/30/2015,64.46
12/1/2015,64.79
12/2/2015,63.52
12/3/2015,62.33
12/4/2015,62.8
12/7/2015,61.95
12/8/2015,59.99
12/9/2015,59.42
12/10/2015,59.34
12/11/2015,58.12
12/14/2015,57.73
12/15/2015,57.86
12/16/2015,58.44
12/17/2015,57.37
12/18/2015,56.78
12/21/2015,56.78
12/22/2015,57.5
12/23/2015,58.42
12/24/2015,58.18
12/28/2015,58.2
12/29/2015,58.57
12/30/2015,58.64
12/31/2015,58.52
1/4/2016,57.82
1/5/2016,57.31
1/6/2016,55.47
1/7/2016,54.61
1/8/2016,53.67
1/11/2016,54.27
1/12/2016,55.37
1/13/2016,53.03
1/14/2016,54.24
1/15/2016,52.27
1/19/2016,51.1
1/20/2016,51.23
1/21/2016,50.94
1/22/2016,52.61
1/25/2016,51.66
1/26/2016,54.16
1/27/2016,53.98
1/28/2016,53.9
1/29/2016,56.21
2/1/2016,55.66
2/2/2016,54.54
2/3/2016,56.35
2/4/2016,57.14
2/5/2016,56.41
2/8/2016,54.86
2/9/2016,50.5
2/10/2016,49.65
2/11/2016,49.38
2/12/2016,50.61
2/16/2016,51.86
2/17/2016,53.48
2/18/2016,54.2
2/19/2016,53.5
2/22/2016,54.43
2/23/2016,52.89
2/24/2016,53.83
2/25/2016,53.91
2/26/2016,54.93
2/29/2016,54.58
3/1/2016,55.67
3/2/2016,56.17
3/3/2016,57.14
3/4/2016,58.64
3/7/2016,60.37
3/8/2016,58.43
3/9/2016,58.81
3/10/2016,58.28
3/11/2016,58.87
3/14/2016,58.82
3/15/2016,58.61
3/16/2016,59.08
3/17/2016,60.23
3/18/2016,61.26
3/21/2016,61.87
3/22/2016,62.01
3/23/2016,61.64
3/24/2016,62.2
3/28/2016,62.12
3/29/2016,63.32
3/30/2016,62.96
3/31/2016,63.09
4/1/2016,63.39
4/4/2016,62.46
4/5/2016,62.07
4/6/2016,62.45
4/7/2016,62.78
4/8/2016,63.86
4/11/2016,64.98
4/12/2016,66.22
4/13/2016,66.68
4/14/2016,67.43
4/15/2016,67.19
4/18/2016,67.15
4/19/2016,67.91
4/20/2016,66.76
4/21/2016,66.55
4/22/2016,67.32
4/25/2016,66.04
4/26/2016,67.29
4/27/2016,67.29
4/28/2016,65.02
4/29/2016,64.42
5/2/2016,65.04
5/3/2016,64.18
5/4/2016,64.05
5/5/2016,63.99
5/6/2016,64.3
5/9/2016,63.29
5/10/2016,57.61
5/11/2016,57.43
5/12/2016,57.82
5/13/2016,56.47
5/16/2016,56.16
5/17/2016,55.36
5/18/2016,54.48
5/19/2016,53.76
5/20/2016,53.96
5/23/2016,54.21
5/24/2016,55.38
5/25/2016,56.82
5/26/2016,56.63
5/27/2016,56.88
5/31/2016,57.13
6/1/2016,56.84
6/2/2016,57.22
6/3/2016,57.28
6/6/2016,58.04
6/7/2016,57.84
6/8/2016,58.39
6/9/2016,58.16
6/10/2016,57.2
6/13/2016,57.49
6/14/2016,57.54
6/15/2016,57.6
6/16/2016,56.95
6/17/2016,58.33
6/20/2016,58.44
6/21/2016,57.2
6/22/2016,57.56
6/23/2016,58.89
6/24/2016,54.73
6/27/2016,51.81
6/28/2016,53.07
6/29/2016,53.22
6/30/2016,55.05
7/1/2016,55.76
7/5/2016,54.51
7/6/2016,56.06
7/7/2016,56.62
7/8/2016,57.97
7/11/2016,58.47
7/12/2016,59.76
7/13/2016,59.41
7/14/2016,59.81
7/15/2016,60.08
7/18/2016,59.78
7/19/2016,59.83
7/20/2016,59.87
7/21/2016,59.28
7/22/2016,59.56
7/25/2016,59.32
7/26/2016,60.63
7/27/2016,60.76
7/28/2016,60.54
7/29/2016,61.01
8/1/2016,60.53
8/2/2016,58.89
8/3/2016,59.09
8/4/2016,59.19
8/5/2016,60.87
8/8/2016,61.22
8/9/2016,61.14
8/10/2016,61.37
8/11/2016,63
8/12/2016,62.8
8/15/2016,64.18
8/16/2016,63.55
8/17/2016,63.77
8/18/2016,64.1
8/19/2016,63.72
8/22/2016,63.2
8/23/2016,63.53
8/24/2016,62.95
8/25/2016,62.28
8/26/2016,61.81
8/29/2016,62.26
8/30/2016,62.12
8/31/2016,61.33
9/1/2016,61.22
9/2/2016,61.9
9/6/2016,61.11
9/7/2016,61.37
9/8/2016,61.02
9/9/2016,58.65
9/12/2016,60.22
9/13/2016,58.57
9/14/2016,57.69
9/15/2016,57.74
9/16/2016,57.07
9/19/2016,57.24
9/20/2016,57.1
9/21/2016,58.11
9/22/2016,59.4
9/23/2016,58.72
9/26/2016,58.18
9/27/2016,57.44
9/28/2016,58.76
9/29/2016,58.94
9/30/2016,59.49
10/3/2016,59.51
10/4/2016,60.07
10/5/2016,61.52
10/6/2016,61.78
10/7/2016,61.11
10/10/2016,61.14
10/11/2016,59.46
10/12/2016,60.06
10/13/2016,59.36
10/14/2016,59.55
10/17/2016,59.65
10/18/2016,59.75
10/19/2016,59.3
10/20/2016,58.75
10/21/2016,58.35
10/24/2016,59.05
10/25/2016,57.85
10/26/2016,59.35
10/27/2016,58.55
10/28/2016,58.6
10/31/2016,59.1
11/1/2016,57.4
11/2/2016,56.9
11/3/2016,57.2
11/4/2016,57.95
11/7/2016,62.05
11/8/2016,63.15
11/9/2016,64.5
11/10/2016,66.75
11/11/2016,68.45
11/14/2016,68.9
11/15/2016,69.45
11/16/2016,69.05
11/17/2016,68.5
11/18/2016,68.85
11/21/2016,69.8
11/22/2016,71
11/23/2016,72.65
11/25/2016,72.55
11/28/2016,72.2
11/29/2016,71.9
11/30/2016,72.9
12/1/2016,74.05
12/2/2016,73.8
12/5/2016,73.4
12/6/2016,73.45
12/7/2016,74.05
12/8/2016,74.95
12/9/2016,75.1
12/12/2016,73.7
12/13/2016,73.35
12/14/2016,71.45
12/15/2016,72.2
12/16/2016,71.7
12/19/2016,72.15
12/20/2016,71.5
12/21/2016,71.2
12/22/2016,70.85
12/23/2016,70.45
12/27/2016,70.6
12/28/2016,69.35
12/29/2016,69.75
12/30/2016,69.25
1/3/2017,70.75
1/4/2017,72.05
1/5/2017,70.7
1/6/2017,69.45
1/9/2017,69.7
1/10/2017,71.2
1/11/2017,72.35
1/12/2017,71.4
1/13/2017,71.8
1/17/2017,71.3
1/18/2017,71.2
1/19/2017,71.65
1/20/2017,71.85
1/23/2017,71.05
1/24/2017,73.2
1/25/2017,74.35
1/26/2017,73.9
1/27/2017,73.2
1/30/2017,72.15
1/31/2017,72.6
2/1/2017,72.35
2/2/2017,71.75
2/3/2017,74.15
2/6/2017,73.3
2/7/2017,75.05
2/8/2017,74.4
2/9/2017,75
2/10/2017,75.1
2/13/2017,75.6
2/14/2017,74.7
2/15/2017,74.5
2/16/2017,74.1
2/17/2017,74.45
2/21/2017,75.8
2/22/2017,75.85
2/23/2017,74.9
2/24/2017,75.25
2/27/2017,76.25
2/28/2017,74.45
3/1/2017,76.2
3/2/2017,75.1
3/3/2017,75
3/6/2017,75
3/7/2017,74.7
3/8/2017,74.25
3/9/2017,73.85
3/10/2017,76.15
3/13/2017,74.9
3/14/2017,74.55
3/15/2017,76
3/16/2017,74.75
3/17/2017,75.25
3/20/2017,75.25
3/21/2017,73
3/22/2017,73.25
3/23/2017,73.55
3/24/2017,72.85
3/27/2017,72.45
3/28/2017,73.75
